partner;marriage;farewell;divorce;separation;education;work
28;28;;;19;23;18
;19;;;19;27;18
;22;;;22;;16
;;;;26;20;21
22;26;37;53;22;28;28
;22;;;17;18;18
;25;;;28;16;16
24;24;26;;28;18;22
;21;;;23;63;63
;19;;23;18;16;19
;22;;;23;23;21
;26;;;40;24;9
;;31;;18;37;33
;21;;28;20;20;18
20;24;;;11;19;19
;20;;27;28;30;18
;21;;29;21;30;15
;25;;35;16;20;13
27;27;;;19;27;27
;25;;39;18;21;25
;18;;;15;18;20
;20;;;19;20;23
;;;;14;;
20;21;;;16;20;17
20;20;;;20;20;20
;;28;;11;17;51
;19;;24;12;18;18
;18;;;18;18;17
;19;;;19;28;18
;17;;22;17;19;18
;25;;;25;29;30
19;19;;;15;19;19
;24;;;24;19;17
;19;;24;19;;18
;16;;18;16;;18
;25;;;25;28;25
;;;;22;19;28
;22;;;20;20;20
;17;;30;17;18;15
;24;;37;19;28;28
30;31;;;15;;30
;21;;30;17;;21
;20;;;15;;18
;;;;28;19;19
23;25;;;18;20;22
23;24;70;;19;29;19
;20;;;20;29;20
;24;;;23;15;15
;18;;33;18;18;19
;20;;;20;18;20
;20;;;17;17;20
;;;;19;40;19
21;23;;;17;20;17
20;21;36;;19;19;20
;;;;22;14;17
22;23;28;28;17;23;18
;22;;;26;34;17
20;26;;;20;20;17
18;19;48;;18;;16
18;20;;;21;;20
;;53;;20;19;18
20;20;;;16;19;18
;;;;;16;16
;20;;22;19;19;19
;28;;;19;18;15
;;;;20;19;19
;20;;;20;;17
21;30;25;;21;27;17
;22;;;22;18;19
21;21;21;21;21;;11
;18;;22;18;16;17
17;18;;;17;20;17
20;20;;;20;;38
;23;;;25;25;18
17;17;;;17;;
;;17;;21;17;
;;;;20;;
;19;;;21;18;16
;17;;;17;;33
18;21;;;18;18;16
20;21;26;26;16;20;20
;;;;21;21;21
;;;;27;17;18
;22;;22;29;;14
;22;;;22;16;18
;19;;;15;25;14
;;;;21;;19
23;23;56;;16;21;24
;30;;;17;20;22
;20;;;19;19;19
;21;;43;23;28;17
;40;;;20;20;19
;;20;;18;;18
;23;;;19;;25
;17;;22;23;19;17
;22;;;41;24;20
;20;;;20;35;17
;22;;25;22;21;17
;;26;;18;18;18
;;39;;26;16;17
19;19;26;26;15;16;17
;16;;21;18;23;18
;28;;43;47;29;18
;;;;17;23;17
19;20;31;31;5;29;16
;25;;;18;;19
;23;;;27;19;26
;24;;;41;23;24
26;29;76;;26;24;25
;26;;;26;20;20
;;;;37;31;34
37;38;42;42;66;17;18
;24;;;24;24;18
;29;;;29;23;24
;21;;;21;22;25
;23;;;23;;18
21;22;;;22;19;19
;20;;;16;18;17
18;18;22;22;18;16;18
;23;;34;19;;19
;;;;18;21;22
;17;;29;;35;19
;22;;;18;24;24
;31;;43;39;35;19
;18;;22;35;19;22
19;20;45;;17;36;18
;20;;;28;22;15
;21;;;22;23;15
;21;;;17;36;36
;18;;22;18;19;20
;23;;25;23;33;20
;18;;24;25;29;21
49;50;57;;19;;19
;24;;;22;18;19
26;35;;;19;19;20
;;;;47;21;19
20;26;59;;26;21;24
;;26;;21;29;14
36;45;;;26;33;17
17;18;31;30;18;16;17
;22;;25;17;23;16
;19;;33;;23;23
;25;;29;15;27;28
;24;;;24;21;21
;16;;37;16;16;16
;19;;;23;;16
21;21;;;21;19;20
;25;;;25;21;19
;24;;;24;23;24
;21;;;21;22;23
;34;;;19;19;19
;;;;53;25;25
;;;;15;;22
;;;;12;23;20
18;20;;;27;22;18
;21;;;21;19;19
;20;;;20;15;13
;24;;;;22;22
19;25;22;;20;21;23
;30;;;33;56;17
;;;;24;30;17
;23;;;18;24;17
;23;;;24;24;23
19;19;30;30;20;20;20
21;25;;;31;18;19
;26;;;21;21;18
;;49;;18;19;19
;20;;33;15;19;19
18;19;36;38;25;17;17
;28;;;31;33;16
;20;;22;20;22;22
;30;;;29;;20
;19;;;24;20;20
17;20;;;8;16;16
;22;;;22;26;17
18;20;25;26;18;18;18
;25;;;25;19;18
25;25;45;;22;22;17
24;24;40;;19;19;19
18;23;;;18;23;22
23;24;32;27;22;30;20
23;23;29;29;23;38;18
;19;;29;18;40;24
;26;;;19;19;22
;21;;;20;22;18
;24;;;16;15;15
21;34;24;;30;;11
;;;;20;20;19
;17;;35;21;;15
;23;;;24;;16
;23;;;23;;18
;;31;;18;25;25
;19;;25;19;28;20
23;28;;;17;22;22
;23;;;18;27;17
19;20;25;25;26;;18
;;;;17;28;19
17;19;26;28;47;28;17
;21;;;17;20;20
;27;;48;26;18;18
;19;;28;18;19;16
16;20;17;;16;;24
24;26;;;14;25;15
